,playerId,recYards,combineId,combineYear,combinePosition,combineHeight,combineWeight,combineHand,nameFirst,nameLast,nameFull,position,collegeId,nflId,college,heightInches,weight,dob,ageAtDraft,playerProfileUrl,homeCity,homeState,homeCountry,highSchool,hsCity,hsState,hsCountry,combineArm,combine40yd,combineVert,combineBench,combineShuttle,combineBroad,combine3cone,combine60ydShuttle,combineWonderlic,draft
0,19880006,231,10297,1988,WR,72.0,193,9.0,Tim,Brown,Tim Brown,WR,46556.0,2499869,Notre Dame,72.0,195.0,1966-07-22,21.77260273972603,http://www.nfl.com/player/TimBrown/2499869/profile,Dallas,TX,USA,Woodrow Wilson HS,Dallas,TX,USA,,4.39,,,,,,,,1988
2,19900058,1132,11131,1990,WR,70.8,181,9.5,Ricky,Proehl,Ricky Proehl,WR,27106.0,2502556,Wake Forest,72.0,190.0,1968-03-07,22.13972602739726,http://www.nfl.com/player/RickyProehl/2502556/profile,Bronx,NY,USA,,,,,29.5,4.58,34.0,,4.01,117.0,,11.31,,1990
5,19910326,2169,11471,1991,WR,71.9,175,10.25,Keenan,McCardell,Keenan McCardell,WR,89154.0,2501942,Nevada-Las Vegas,73.0,191.0,1970-01-06,21.301369863013697,http://www.nfl.com/player/KeenanMcCardell/2501942/profile,Houston,TX,USA,,,,,32.0,4.56,36.5,,4.18,122.0,,11.46,,1991
7,19920036,2337,12002,1992,WR,72.8,200,10.13,Jimmy,Smith,Jimmy Smith,WR,39217.0,2503028,Jackson State (MS),73.0,202.0,1969-02-09,23.22465753424657,http://www.nfl.com/player/JimmySmith/2503028/profile,Detroit,MI,USA,,,,,32.63,4.58,35.0,,4.14,120.0,,11.29,,1992
11,19930007,432,12156,1993,WR,72.3,185,8.75,Curtis,Conway,Curtis Conway,WR,90089.0,2500179,USC,73.0,200.0,1971-01-13,22.295890410958904,http://www.nfl.com/player/CurtisConway/2500179/profile,Los Angeles,CA,USA,Hawthorne HS,Hawthorne,CA,USA,31.5,,,,,,,,,1993
19,19940021,1113,12638,1994,WR,71.9,189,10.0,Johnnie,Morton,Johnnie Morton,WR,90089.0,2502213,USC,72.0,193.0,1971-10-07,22.56164383561644,http://www.nfl.com/player/JohnnieMorton/2502213/profile,Inglewood,CA,USA,South HS,Torrance,CA,USA,32.0,,,,,,,,,1994
20,19940033,4046,12470,1994,WR,71.5,173,8.75,Isaac,Bruce,Isaac Bruce,WR,38152.0,2499879,Memphis,72.0,188.0,1972-11-10,21.46575342465753,http://www.nfl.com/player/IsaacBruce/2499879/profile,Fort Lauderdale,FL,USA,Dillard HS,,FL,USA,33.13,4.55,36.5,,4.15,121.0,,11.5,,1994
23,19940109,0,12581,1994,WR,73.0,205,9.0,Willie,Jackson,Willie Jackson,WR,32611.0,2501346,Florida,73.0,212.0,1971-08-16,22.704109589041096,http://www.nfl.com/player/WillieJackson/2501346/profile,Gainesville,FL,USA,P.K. Yonge Developmental Research School,,FL,USA,33.0,4.62,38.0,,4.15,125.0,,11.0,,1994
26,19950008,4579,12845,1995,WR,70.4,188,10.25,Joey,Galloway,Joey Galloway,WR,43210.0,2500744,Ohio State,71.0,197.0,1971-11-20,23.435616438356163,http://www.nfl.com/player/JoeyGalloway/2500744/profile,Bellaire,OH,USA,Bellaire HS,Bellaire,OH,USA,30.63,,,,,,,,,1995
35,19950090,19,12842,1995,WR,72.6,180,8.38,Antonio,Freeman,Antonio Freeman,WR,24061.0,2500704,Virginia Tech,73.0,198.0,1972-05-27,22.91780821917808,http://www.nfl.com/player/AntonioFreeman/2500704/profile,Baltimore,MD,USA,,,,,31.25,,,,,,,,,1995
